URL,Name,Chip Image
https://www.techpowerup.com/cpu-specs/ryzen-5-5600x.c2365,AMD Ryzen 5 5600X,https://tpucdn.com/cpu-specs/images/chips/2365-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5825u.c2521,AMD Ryzen 7 5825U,https://tpucdn.com/cpu-specs/images/chips/2521-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-3700x.c2130,AMD Ryzen 7 3700X,https://tpucdn.com/cpu-specs/images/chips/2130-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-9-9950x3d.c3993,AMD Ryzen 9 9950X3D,https://tpucdn.com/cpu-specs/images/chips/3993-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5700g.c2472,AMD Ryzen 7 5700G,https://tpucdn.com/cpu-specs/images/chips/2472-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-2600.c2015,AMD Ryzen 5 2600,https://tpucdn.com/cpu-specs/images/chips/2015-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5800x.c2362,AMD Ryzen 7 5800X,https://tpucdn.com/cpu-specs/images/chips/2362-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5800x3d.c2532,AMD Ryzen 7 5800X3D,https://tpucdn.com/cpu-specs/images/chips/2532-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-3400g.c2204,AMD Ryzen 5 3400G,https://tpucdn.com/cpu-specs/images/chips/2204-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-5500u.c2372,AMD Ryzen 5 5500U,https://tpucdn.com/cpu-specs/images/chips/2372-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-5600gt.c3438,AMD Ryzen 5 5600GT,https://tpucdn.com/cpu-specs/images/connectivity/amd-am4.jpg
https://www.techpowerup.com/cpu-specs/ryzen-3-3200g.c2205,AMD Ryzen 3 3200G,https://tpucdn.com/cpu-specs/images/chips/2205-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-3500x.c2264,AMD Ryzen 5 3500X,https://tpucdn.com/cpu-specs/images/chips/2264-bundled-heatsink.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-7520u.c3046,AMD Ryzen 5 7520U,https://tpucdn.com/cpu-specs/images/connectivity/amd-mobile-fp6-mendocino.jpg
https://www.techpowerup.com/cpu-specs/ryzen-9-5950x.c2364,AMD Ryzen 9 5950X,https://tpucdn.com/cpu-specs/images/chips/2364-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-ai-max-395.c3994,AMD Ryzen AI Max+ 395,https://tpucdn.com/cpu-specs/images/chips/3994-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-7500f.c3259,AMD Ryzen 5 7500F,https://tpucdn.com/cpu-specs/images/chips/3259-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-3500u.c2138,AMD Ryzen 5 3500U,https://tpucdn.com/cpu-specs/images/chips/2138-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5700u.c2744,AMD Ryzen 7 5700U,https://tpucdn.com/cpu-specs/images/chips/2744-front.small.jpg
https://www.techpowerup.com/cpu-specs/fx-8350.c1099,AMD FX-8350,https://tpucdn.com/cpu-specs/images/chips/1099-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-4600g.c2319,AMD Ryzen 5 4600G,https://tpucdn.com/cpu-specs/images/chips/2319-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-1600.c1900,AMD Ryzen 5 1600,https://tpucdn.com/cpu-specs/images/chips/1900-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-2700x.c2011,AMD Ryzen 7 2700X,https://tpucdn.com/cpu-specs/images/chips/2011-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-ai-7-350.c4004,AMD Ryzen AI 7 350,https://tpucdn.com/cpu-specs/images/chips/4004-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-7730u.c3037,AMD Ryzen 7 7730U,https://tpucdn.com/cpu-specs/images/chips/3037-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-3-2200g.c1978,AMD Ryzen 3 2200G,https://tpucdn.com/cpu-specs/images/chips/1978-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-9-5900x.c2363,AMD Ryzen 9 5900X,https://tpucdn.com/cpu-specs/images/chips/2363-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-i5-12400f.c2550,Intel Core i5-12400F,https://tpucdn.com/cpu-specs/images/chips/2550-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-4500.c2758,AMD Ryzen 5 4500,https://tpucdn.com/cpu-specs/images/chips/2758-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-9-3900x.c2128,AMD Ryzen 9 3900X,https://tpucdn.com/cpu-specs/images/chips/2128-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-2400g.c1976,AMD Ryzen 5 2400G,https://tpucdn.com/cpu-specs/images/chips/1976-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-7735hs.c3041,AMD Ryzen 7 7735HS,https://tpucdn.com/cpu-specs/images/chips/3041-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5700.c3305,AMD Ryzen 7 5700,https://tpucdn.com/cpu-specs/images/chips/3305-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-9600x.c3652,AMD Ryzen 5 9600X,https://tpucdn.com/cpu-specs/images/chips/3652-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-ultra-x9-388h.c4302,Intel Core Ultra X9 388H,https://tpucdn.com/cpu-specs/images/chips/4302-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-1700.c1893,AMD Ryzen 7 1700,https://tpucdn.com/cpu-specs/images/chips/1893-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-9700x.c3651,AMD Ryzen 7 9700X,https://tpucdn.com/cpu-specs/images/chips/3651-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-pro-4650g.c2325,AMD Ryzen 5 PRO 4650G,https://tpucdn.com/cpu-specs/images/chips/2325-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-3600x.c2131,AMD Ryzen 5 3600X,https://tpucdn.com/cpu-specs/images/chips/2131-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-ai-9-hx-370.c3655,AMD Ryzen AI 9 HX 370,https://tpucdn.com/cpu-specs/images/chips/3655-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-ultra-9-285k.c3773,Intel Core Ultra 9 285K,https://tpucdn.com/cpu-specs/images/chips/3773-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-pro-4650u.c2504,AMD Ryzen 5 PRO 4650U,https://tpucdn.com/cpu-specs/images/chips/2504-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-5625u.c2520,AMD Ryzen 5 5625U,https://tpucdn.com/cpu-specs/images/chips/2520-front.small.jpg
https://www.techpowerup.com/cpu-specs/fx-6300.c1210,AMD FX-6300,https://tpucdn.com/cpu-specs/images/chips/1210-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-260.c4010,AMD Ryzen 7 260,https://tpucdn.com/cpu-specs/images/chips/4010-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-i5-13420h.c3058,Intel Core i5-13420H,https://tpucdn.com/cpu-specs/images/chips/3058-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-threadripper-pro-9995wx.c4163,AMD Ryzen Threadripper PRO 9995WX,https://tpucdn.com/cpu-specs/images/chips/4163-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-7600x.c2849,AMD Ryzen 5 7600X,https://tpucdn.com/cpu-specs/images/chips/2849-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-pro-5650u.c2773,AMD Ryzen 5 PRO 5650U,https://tpucdn.com/cpu-specs/images/chips/2773-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-2600x.c2014,AMD Ryzen 5 2600X,https://tpucdn.com/cpu-specs/images/chips/2014-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5800xt.c3654,AMD Ryzen 7 5800XT,https://tpucdn.com/cpu-specs/images/connectivity/amd-am4.jpg
https://www.techpowerup.com/cpu-specs/core-i7-7700.c1843,Intel Core i7-7700,https://tpucdn.com/cpu-specs/images/chips/1843-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-8845hs.c3400,AMD Ryzen 7 8845HS,https://tpucdn.com/cpu-specs/images/chips/3400-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-3800x.c2129,AMD Ryzen 7 3800X,https://tpucdn.com/cpu-specs/images/chips/2129-front.small.jpg
